param_id,repetition,accident_probability,helmet,change_lane_switch,scooter_safety_slider,average_congestion_final,avg_car_travel_time_final,avg_scooter_travel_time_final,car_person_accidents_final,car_scooter_accidents_final,helmet_ratio_final,scooter_person_accidents_final,scooter_scooter_accidents_final,step_final,average_congestion_max,avg_car_travel_time_max,avg_scooter_travel_time_max,car_person_accidents_max,car_scooter_accidents_max,helmet_ratio_max,scooter_person_accidents_max,scooter_scooter_accidents_max,step_max,average_congestion_mean,avg_car_travel_time_mean,avg_scooter_travel_time_mean,car_person_accidents_mean,car_scooter_accidents_mean,helmet_ratio_mean,scooter_person_accidents_mean,scooter_scooter_accidents_mean,step_mean,average_congestion_min,avg_car_travel_time_min,avg_scooter_travel_time_min,car_person_accidents_min,car_scooter_accidents_min,helmet_ratio_min,scooter_person_accidents_min,scooter_scooter_accidents_min,step_min
0,1,0.1,0,0,0.2,0.910973084886128,3124.24074074074,4278.28571428572,3.0,6.0,0.910973084886128,8.0,10.0,30001.0,8.36438923395445,3124.24074074074,4278.28571428572,3.0,6.0,0.0,8.0,10.0,30001.0,1.18477125679587,0.0,0.0,2.579928005,5.25548296780215,0.0,6.96283581094594,9.24201719885341,15000.5,0,167,285,0,0,0,0,0,0
0,2,0.1,0,0,0.2,0.331262939958592,4096.7037037037,4113.36363636364,6.0,1.0,0.0,10.0,4.0,30001.0,7.37060041407868,4096.7037037037,4113.36363636364,6.0,1.0,0.0,10.0,4.0,30001.0,1.00690871816309,0.0,0.0,5.68362109192721,0.968235450969935,0.0,8.94587027531498,3.69518698753416,15000.5,0,361,341,0,0,0,0,0,0
0,3,0.1,0,0,0.2,0.165631469979296,4101.93846153846,5287.89130434783,4.0,0.0,0.0,16.0,9.0,30001.0,7.95031055900621,4101.93846153846,5287.89130434783,4.0,0.0,0.0,16.0,9.0,30001.0,1.176095507,0.0,0.0,3.56862875808279,0.0,0.0,14.9320378641424,8.452436504,15000.5,0,372,0,0,0,0,0,0,0
1,1,0.1,0,0,0.5,0.082815735,5065.09090909091,6364.96296296296,2.0,3.0,0.0,24.0,6.0,30001.0,8.2815734989648,5065.09090909091,6364.96296296296,2.0,3.0,0.0,24.0,6.0,30001.0,1.3238289290033,0.0,0.0,1.75278314779015,2.64949003399773,0.0,21.3927404839677,5.60495966935538,15000.5,0,229,422,0,0,0,0,0,0
1,2,0.1,0,0,0.5,0.082815735,4114.508474576271,4856.17021276596,8.0,2.0,0.0,16.0,9.0,30001.0,8.19875776397516,4114.508474576271,4856.17021276596,8.0,2.0,0.0,16.0,9.0,30001.0,1.05374065469511,0.0,0.0,6.99576694887008,1.78458102793147,0.0,14.919905339644,8.54823011799213,15000.5,0,538,256,0,0,0,0,0,0
1,3,0.1,0,0,0.5,0.248447204968944,4947.83928571429,4888.48,6.0,2.0,0.0,18.0,11.0,30001.0,8.36438923395445,4947.83928571429,4888.48,6.0,2.0,0.0,18.0,11.0,30001.0,1.34834075243881,0.0,0.0,5.70531964535698,1.68085460969269,0.0,16.9067728818079,10.4593360442637,15000.5,0,334,4,0,0,0,0,0,0
2,1,0.1,0,0,0.7,0.331262939958592,4216.73015873016,3944.7358490566,1.0,3.0,0.0,13.0,8.0,30001.0,7.6190476190476195,4216.73015873016,3944.7358490566,1.0,3.0,0.0,13.0,8.0,30001.0,1.26901408781212,0.0,0.0,0.981401239917339,2.94477034864342,0.0,12.1104593027132,7.46700219985334,15000.5,0,130,356,0,0,0,0,0,0
2,2,0.1,0,0,0.7,0.248447204968944,4262.25396825397,5187.13953488372,3.0,1.0,0.0,23.0,8.0,30001.0,7.45341614906832,4262.25396825397,5187.13953488372,3.0,1.0,0.0,23.0,8.0,30001.0,1.25154389293355,0.0,0.0,2.61065928938071,0.974468369,0.0,20.3806746216919,6.6075594960336,15000.5,0,0,204,0,0,0,0,0,0
2,3,0.1,0,0,0.7,0.331262939958592,3640.46551724138,4971.29508196721,4.0,1.0,0.0,8.0,7.0,30001.0,8.11594202898551,3640.46551724138,4971.29508196721,4.0,1.0,0.0,8.0,7.0,30001.0,1.34220451555872,0.0,0.0,3.63552429838011,0.954603026464902,0.0,7.80961269248717,5.78121458569429,15000.5,0,314,1,0,0,0,0,0,0
3,1,0.1,0,1,0.2,0.910973084886128,3230.72413793103,3100.72,3.0,3.0,0.0,4.0,3.0,30001.0,14.82401656,3230.72413793103,3100.72,3.0,3.0,0.0,4.0,3.0,30001.0,1.83842264207975,0.0,0.0,2.72508499433371,2.85814279048063,0.0,3.2151189920672,2.86000933271115,15000.5,0,290,0,0,0,0,0,0,0
